"study_ID","measured_response_variable","measured_response_comments","reported_units"
"43_a","aboveground net primary productivity","DH","g / m2 year"
"43_b","aboveground net primary productivity","MAT","g / m2 year"
"43_c","C:N ratio for new shoot tissues","DH",NA
"43_d","C:N ratio for new shoot tissues","MAT",NA
"43_e","C:N ratio for root tissues","DH",NA
"43_f","C:N ratio for root tissues","MAT",NA
"43_g","total aboveground biomass","DH","g / m2"
"43_h","total aboveground biomass","MAT","g / m2"
"43_i","vascular plant belowground biomass","DH","g / m2"
"43_j","vascular plant belowground biomass","MAT","g / m2"
"43_k","root biomass","DH","g / cm2"
"43_l","root biomass","MAT","g / cm2"
"43_m","plant-feeding nematodes","DH","mg C / m2"
"43_n","predatory mites","DH","mg C / m2"
"43_o","nematophagous mites","DH","mg C / m2"
"43_p","tardigrades","DH","mg C / m2"
"43_q","total predators","DH","mg C / m2"
"43_r","plant-feeding nematodes","MAT","mg C / m2"
"43_s","predatory mites","MAT","mg C / m2"
"43_t","nematophagous mites","MAT","mg C / m2"
"43_u","predatory nematodes","MAT","mg C / m2"
"43_v","tardigrades","MAT","mg C / m2"
"43_w","total predators","MAT","mg C / m2"
"46_a","Betula glandulosa biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_b","Betula glandulosa biomass (foliar)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_c","Betula glandulosa biomass (stem)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_d","Vaccinium uliginosum biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_e","Vaccinium uliginosum biomass (foliar)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_f","Vaccinium uliginosum biomass (stem)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_g","Rhododendron subarcticum biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_h","Rhododendron subarcticum biomass (foliar)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_i","Rhododendron subarcticum biomass (stem)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_j","Vaccinium vitis-idaea biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_k","Vaccinium vitis-idaea biomass (foliar)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_l","Vaccinium vitis-idaea biomass (stem)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_m","Andromeda polifolia biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_n","Andromeda polifolia biomass (foliar)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_o","Eriophorum vaginatum biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_p","Lichen biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"46_q","Moss biomass (total)","point intercept transformed by the authors to g/m2 using local calibrations","g/m-2"
"49_a","Leaf Area Index",NA,"m2 leaf / m2 ground"
"49_b","Leaf Area Index",NA,"m2 leaf / m2 ground"
"49_c","Leaf Area Index",NA,"m2 leaf / m2 ground"
"49_d","Lichen abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_e","Lichen abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_f","Lichen abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_g","Vascular plant abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_h","Vascular plant abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_i","Vascular plant abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_j","Bareground Abundance","out of 62 points; cover","pin hits out of 62"
"49_k","Bareground Abundance","out of 62 points; cover","pin hits out of 62"
"49_l","Bareground Abundance","out of 62 points; cover","pin hits out of 62"
"49_m","Deciduous Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_n","Deciduous Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_o","Deciduous Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_p","Evergreen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_q","Evergreen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_r","Evergreen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_s","Graminoid Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_t","Graminoid Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_u","Graminoid Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_v","Crustose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_w","Crustose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_x","Crustose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_y","Foliose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_z","Foliose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_aa","Foliose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_ab","Fruticose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_ac","Fruticose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"49_ad","Fruticose Lichen Abundance","out of 62 points; multiple hits per pin. Plot area 0.43 m2","pin hits out of 62"
"51_a","aboveground NPP",NA,"g/m2"
"51_b","soil water content",NA,"cm3/cm3"
"51_c","NO3 supply rate",NA,"microg /10 cm2 d"
"51_d","NH4 supply rate",NA,"microg /10 cm2 d"
"51_e","soil T","10 cm below surface; grid 1","°C"
"51_f","soil T","10 cm below surface; grid 2","°C"
"56_a","Soil NH4+ (unfertilised)",NA,"μg/g OM"
"56_b","Soil NH4+ (unfertilised)",NA,"μg/g OM"
"56_c","Soil NH4+ (fertilised)",NA,"μg/g OM"
"56_d","Soil NH4+ (fertilised)",NA,"μg/g OM"
"56_e","Soil NO3- (unfertilised)",NA,"μg/g OM"
"56_f","Soil NO3- (unfertilised)",NA,"μg/g OM"
"56_g","Soil NO3- (fertilised)",NA,"μg/g OM"
"56_h","Soil NO3- (fertilised)",NA,"μg/g OM"
"56_i","Soil Organic Nitrogen (unfertilised)",NA,"μg/g OM"
"56_j","Soil Organic Nitrogen (unfertilised)",NA,"μg/g OM"
"56_k","Soil Organic Nitrogen (fertilised)",NA,"μg/g OM"
"56_l","Soil Organic Nitrogen (fertilised)",NA,"μg/g OM"
"56_m","Soil Microbial Nitrogen (unfertilised)",NA,"μg/g OM"
"56_n","Soil Microbial Nitrogen (unfertilised)",NA,"μg/g OM"
"56_o","Soil Microbial Nitrogen (fertilised)",NA,"μg/g OM"
"56_p","Soil Microbial Nitrogen (fertilised)",NA,"μg/g OM"
"56_q","Soil total extractable Phosphorus (unfertilised)",NA,"μg/g OM"
"56_r","Soil total extractable Phosphorus (unfertilised)",NA,"μg/g OM"
"56_s","Soil total extractable Phosphorus (fertilised)",NA,"μg/g OM"
"56_t","Soil total extractable Phosphorus (fertilised)",NA,"μg/g OM"
"56_u","Soil Microbial Phosphorus (unfertilised)",NA,"μg/g OM"
"56_v","Soil Microbial Phosphorus (unfertilised)",NA,"μg/g OM"
"56_w","Soil Microbial Phosphorus (fertilised)",NA,"μg/g OM"
"56_x","Soil Microbial Phosphorus (fertilised)",NA,"μg/g OM"
"56_y","Total plant Carbon (unfertilised)",NA,"g/m2"
"56_z","Total plant Carbon (unfertilised)",NA,"g/m2"
"56_aa","Total plant Carbon (fertilised)",NA,"g/m2"
"56_ab","Total plant Carbon (fertilised)",NA,"g/m2"
"56_ac","Deciduous dwarf shrub Carbon (unfertilised)",NA,"g/m2"
"56_ad","Deciduous dwarf shrub Carbon (unfertilised)",NA,"g/m2"
"56_ae","Deciduous dwarf shrub Carbon (fertilised)",NA,"g/m2"
"56_af","Deciduous dwarf shrub Carbon (fertilised)",NA,"g/m2"
"56_ag","Evergreen dwarf shrub Carbon (unfertilised)",NA,"g/m2"
"56_ah","Evergreen dwarf shrub Carbon (unfertilised)",NA,"g/m2"
"56_ai","Evergreen dwarf shrub Carbon (fertilised)",NA,"g/m2"
"56_aj","Evergreen dwarf shrub Carbon (fertilised)",NA,"g/m2"
"56_ak","Graminoid Carbon (unfertilised)",NA,"g/m2"
"56_al","Graminoid Carbon (unfertilised)",NA,"g/m2"
"56_am","Graminoid Carbon (fertilised)",NA,"g/m2"
"56_an","Graminoid Carbon (fertilised)",NA,"g/m2"
"56_ao","Total plant Nitrogen (unfertilised)",NA,"g/m2"
"56_ap","Total plant Nitrogen (unfertilised)",NA,"g/m2"
"56_aq","Total plant Nitrogen (fertilised)",NA,"g/m2"
"56_ar","Total plant Nitrogen (fertilised)",NA,"g/m2"
"56_as","Deciduous dwarf shrub Nitrogen (unfertilised)",NA,"g/m2"
"56_at","Deciduous dwarf shrub Nitrogen (unfertilised)",NA,"g/m2"
"56_au","Deciduous dwarf shrub Nitrogen (fertilised)",NA,"g/m2"
"56_av","Deciduous dwarf shrub Nitrogen (fertilised)",NA,"g/m2"
"56_aw","Evergreen dwarf shrub Nitrogen (unfertilised)",NA,"g/m2"
"56_ax","Evergreen dwarf shrub Nitrogen (unfertilised)",NA,"g/m2"
"56_ay","Evergreen dwarf shrub Nitrogen (fertilised)",NA,"g/m2"
"56_az","Evergreen dwarf shrub Nitrogen (fertilised)",NA,"g/m2"
"56_ba","Graminoid Nitrogen (unfertilised)",NA,"g/m2"
"56_bb","Graminoid Nitrogen (unfertilised)",NA,"g/m2"
"56_bc","Graminoid Nitrogen (fertilised)",NA,"g/m2"
"56_bd","Graminoid Nitrogen (fertilised)",NA,"g/m2"
"56_be","Plant Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bf","Plant Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bg","Plant Nitrogen (fertilised)",NA,"% of dry mass"
"56_bh","Plant Nitrogen (fertilised)",NA,"% of dry mass"
"56_bi","Deciduous dwarf shrub Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bj","Deciduous dwarf shrub Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bk","Deciduous dwarf shrub Nitrogen (fertilised)",NA,"% of dry mass"
"56_bl","Deciduous dwarf shrub Nitrogen (fertilised)",NA,"% of dry mass"
"56_bm","Evergreen dwarf shrub Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bn","Evergreen dwarf shrub Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bo","Evergreen dwarf shrub Nitrogen (fertilised)",NA,"% of dry mass"
"56_bp","Evergreen dwarf shrub Nitrogen (fertilised)",NA,"% of dry mass"
"56_bq","Graminoid Nitrogen (unfertilised)",NA,"% of dry mass"
"56_br","Graminoid Nitrogen (unfertilised)",NA,"% of dry mass"
"56_bs","Graminoid Nitrogen (fertilised)",NA,"% of dry mass"
"56_bt","Graminoid Nitrogen (fertilised)",NA,"% of dry mass"
"61_as","Number of Vascular Plant Species","50 x 50 cm quadrat","nr species"
"69_a","abundance","in Figure 2 y-axis shows ""cover value"" but it is nr of hits/100; for groups other than mosses and lichens they recorded multiple hits/pin, so this is a measure of abundance. Sampling area is 20 x 20 cm, 100 pins","hits/100 points"
"69_b","Aboveground biomass",NA,"g/m2"
"69_c","Aboveground biomass",NA,"g/m2"
"75_a","Salix recruit mortality","Due browsing","Percentage"
"75_b","Salix recruit mortality","Due browsing","Percentage"
"75_c","Salix recruit mortality","Due browsing","Percentage"
"75_d","Salix recruit mortality","Due browsing","Percentage"
"75_e","Salix recruit mortality","Due browsing","Percentage"
"75_f","Salix recruit mortality","Due browsing","Percentage"
"75_g","Shoot sum (response ratio)","Size change of Salix shoots","unitless"
"75_h","Shoot sum (response ratio)","Size change of Salix shoots","unitless"
"75_i","Shoot sum (response ratio)","Size change of Salix shoots","unitless"
"75_j","Shoot sum (response ratio)","Size change of Salix shoots","unitless"
"75_k","Shoot sum (response ratio)","Size change of Salix shoots","unitless"
"75_l","Shoot sum (response ratio)","Size change of Salix shoots","unitless"
"77_d","Shrub biomass","change in biomass for open habitat in Vassijaure","g m-2 yr-1"
"77_e","Shrub biomass","change in biomass for open habitat in Vassijaure","g m-2 yr-1"
"77_f","Shrub biomass","change in biomass for open habitat in Vassijaure","g m-2 yr-1"
"77_g","Shrub biomass","change in biomass for open habitatin Joatka","g m-2 yr-1"
"77_h","Shrub biomass","change in biomass for open habitatin Joatka","g m-2 yr-1"
"77_i","Shrub biomass","change in biomass for open habitatin Joatka","g m-2 yr-1"
"77_j","Shrub biomass","change in biomass for open habitat in Seiland","g m-2 yr-1"
"77_k","Shrub biomass","change in biomass for open habitat in Seiland","g m-2 yr-1"
"77_l","Shrub biomass","change in biomass for open habitat in Seiland","g m-2 yr-1"
"77_m","Shrub height","change in height in open habitats in Abisko","g m-2 yr-1"
"77_n","Shrub height","change in height in open habitats in Abisko","g m-2 yr-1"
"77_o","Shrub height","change in height in open habitats in Abisko","g m-2 yr-1"
"77_p","Shrub height","change in height in open habitats in Vassijaure","g m-2 yr-1"
"77_q","Shrub height","change in height in open habitats in Vassijaure","g m-2 yr-1"
"77_r","Shrub height","change in height in open habitats in Vassijaure","g m-2 yr-1"
"77_s","Shrub height","change in height in open habitats in Joatka","g m-2 yr-1"
"77_t","Shrub height","change in height in open habitats in Joatka","g m-2 yr-1"
"77_u","Shrub height","change in height in open habitats in Joatka","g m-2 yr-1"
"77_v","Shrub height","change in height in open habitats in Seiland","g m-2 yr-1"
"77_w","Shrub height","change in height in open habitats in Seiland","g m-2 yr-1"
"77_x","Shrub height","change in height in open habitats in Seiland","g m-2 yr-1"
"77_y","Deschampsia flexuosa change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_z","Deschampsia flexuosa change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_aa","Deschampsia flexuosa change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_ab","Deschampsia flexuosa change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ac","Deschampsia flexuosa change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ad","Deschampsia flexuosa change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ae","Deschampsia flexuosa change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_af","Deschampsia flexuosa change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_ag","Deschampsia flexuosa change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_ah","Deschampsia flexuosa change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_ai","Deschampsia flexuosa change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_aj","Deschampsia flexuosa change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_an","Empetrum nigrum change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ao","Empetrum nigrum change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ap","Empetrum nigrum change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_aq","Empetrum nigrum change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_ar","Empetrum nigrum change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_as","Empetrum nigrum change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_at","Empetrum nigrum change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_au","Empetrum nigrum change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_av","Empetrum nigrum change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_aw","Vaccinium myrtillus change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_ax","Vaccinium myrtillus change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_ay","Vaccinium myrtillus change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_az","Vaccinium myrtillus change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_ba","Vaccinium myrtillus change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_bb","Vaccinium myrtillus change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_bc","Vaccinium myrtillus change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_bd","Vaccinium myrtillus change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_be","Vaccinium myrtillus change of biomass","tundra plots in Joatka","gm-2 yr-1"
"77_bf","Vaccinium myrtillus change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_bg","Vaccinium myrtillus change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_bh","Vaccinium myrtillus change of biomass","tundra plots in Seiland","gm-2 yr-1"
"77_bj","Vaccinium uliginosum change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_bk","Vaccinium uliginosum change of biomass","tundra plots in Abisko","gm-2 yr-1"
"77_bl","Vaccinium uliginosum change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
"77_bm","Vaccinium uliginosum change of biomass","tundra plots in Vassijaure","gm-2 yr-1"
